Car Name,Horse Power,Weight,MPG
datsun 810 maxima,120,2930,24.2
buick century,110,3415,22.4
oldsmobile cutlass ls,105,3725,26.6
ford granada gl,88,3060,20.2
chrysler lebaron salon,85,3465,17.6
chevrolet cavalier,88,2605,28
chevrolet cavalier wagon,88,2640,27
chevrolet cavalier 2-door,88,2395,34
pontiac j2000 se hatchback,85,2575,31
dodge aries se,84,2525,29
pontiac phoenix,90,2735,27
ford fairmont futura,92,2865,24
volkswagen rabbit l,74,1980,36
mazda glc custom l,68,2025,37
mazda glc custom,68,1970,31
plymouth horizon miser,63,2125,38
mercury lynx l,70,2125,36
nissan stanza xe,88,2160,36
honda accord,75,2205,36
toyota corolla,70,2245,34
honda civic,67,1965,38
honda civic (auto),67,1965,32
datsun 310 gx,67,1995,38
buick century limited,110,2945,25
oldsmobile cutlass ciera (diesel),85,3015,38
chrysler lebaron medallion,92,2585,26
ford granada l,112,2835,22
toyota celica gt,96,2665,32
dodge charger 2.2,84,2370,36
chevrolet camaro,90,2950,27
ford mustang gl,86,2790,27
vw pickup,52,2130,44
dodge rampage,84,2295,32
ford ranger,79,2625,28
chevy s-10,82,2720,31
